msgid,msgctxt,domain,es_ES,en_GB,de_DE,fr_FR,es_MX,es_CL,es_CO,en_US,de_AT
Ayuda a otros pacientes con tu experiencia,interaction-home,iol-main,Ayuda a otros pacientes con tu experiencia,Help other patients by sharing your experience,Helfe anderen Patienten mit Deinen Erfahrungen.,,Ayuda a otros pacientes con tu experiencia,Ayuda a otros pacientes con tu experiencia,Ayuda a otros pacientes con tu experiencia,Help other patients by sharing your experience,Helfe anderen Patienten mit Deinen Erfahrungen.
Queremos saber si estás contento/a o no.,interaction-home,iol-main,Queremos saber si estás contento/a o no.,We want to know if you are happy or not with the outomes.,"Wir möchten gerne erfahren, ob Du zufrieden bist oder nicht.",,Queremos saber si estás contento/a o no.,Queremos saber si estás contento/a o no.,Queremos saber si estás contento/a o no.,We want to know if you are happy or not with the outomes.,"Wir möchten gerne erfahren, ob Du zufrieden bist oder nicht."
Ir a la encuesta >>,interaction-home,iol-main,Ir a la encuesta >>,Go to the survey >>,Gehe zum Fragebogen,,Ir a la encuesta >>,Ir a la encuesta >>,Ir a la encuesta >>,Go to the survey >>,Gehe zum Fragebogen
"Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:",interaction-home,iol-main,"Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:","If you know someone who has already had surgery, invite them to give their opinion about their operation:","Kennst Du jemanden, der schon operiert wurde. Lade ihn ein, uns seine Erfahrungen zu übermitteln.",,"Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:","Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:","Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:","If you know someone who has already had surgery, invite them to give their opinion about their operation:","Kennst Du jemanden, der schon operiert wurde. Lade ihn ein, uns seine Erfahrungen zu übermitteln."
Foros de NuevoCristalino,iol_main,iol-main,Foros de NuevoCristalino,NewLens Forums,Forum von NeueLinsen,,Foros de NuevoCristalino,Foros de NuevoCristalino,Foros de NuevoCristalino,NewLens Forums,Forum von NeueLinsen
Blog de lentes intraoculares Presbicia y cataratas,single-post,iol-main,Blog de lentes intraoculares Presbicia y cataratas,"Blog of intraocular lenses, Presbyopia and cataracts",Blog über Intraokularlinsen zur Korrektur der Alterssichtigkeit oder einer Katarakt.,,Blog de lentes intraoculares Presbicia y cataratas,Blog de lentes intraoculares Presbicia y cataratas,Blog de lentes intraoculares Presbicia y cataratas,"Blog of intraocular lenses, Presbyopia and cataracts",Blog über Intraokularlinsen zur Korrektur der Alterssichtigkeit oder einer Katarakt.
Pregunta a los cirujanos,iol_main,iol-main,Pregunta a los cirujanos,Ask the surgeons,Fragen an den Augenchirurgen,,Pregunta a los cirujanos,Pregunta a los cirujanos,Pregunta a los cirujanos,Ask the surgeons,Fragen an den Augenchirurgen
Blog de lentes intraoculares Presbicia y cataratas,iol_main,iol-main,Blog de lentes intraoculares Presbicia y cataratas,"Blog of intraocular lenses, Presbyopia and cataracts",Blog über Intraokularlinsen zur Korrektur der Alterssichtigkeit oder einer Katarakt.,,Blog de lentes intraoculares Presbicia y cataratas,Blog de lentes intraoculares Presbicia y cataratas,Blog de lentes intraoculares Presbicia y cataratas,"Blog of intraocular lenses, Presbyopia and cataracts",Blog über Intraokularlinsen zur Korrektur der Alterssichtigkeit oder einer Katarakt.
Filtrado según distancia a una ubicación concreta:,template-buscador-clinicas,iol-main,Filtrado según distancia a una ubicación concreta:,Filtering according to the distance to a specific location:,Filter - Entfernung zu einem bestimmten Ort,,Filtrado según distancia a una ubicación concreta:,Filtrado según distancia a una ubicación concreta:,Filtrado según distancia a una ubicación concreta:,Filtering according to the distance to a specific location:,Filter - Entfernung zu einem bestimmten Ort
Filtrado según Lente y Comunidad:,template-buscador-clinicas,iol-main,Filtrado según Lente y Comunidad:,Filtered according to Lens and Region:,Filter - Linse und Region,,Filtrado según Lente y Comunidad:,Filtrado según Lente y Comunidad:,Filtrado según Lente y Comunidad:,Filtered according to Lens and Region:,Filter - Linse und Region
Ubicar la dirección introducida,template-buscador-clinicas,iol-main,Ubicar la dirección introducida,Locate the entered address,Finde den eingegebenen Ort,,Ubicar la dirección introducida,Ubicar la dirección introducida,Ubicar la dirección introducida,Locate the entered address,Finde den eingegebenen Ort
Máxima distancia a ubicación:,template-buscador-clinicas,iol-main,Máxima distancia a ubicación:,Maximum distance to location:,Maximale Entfernung vom Ort,,Máxima distancia a ubicación:,Máxima distancia a ubicación:,Máxima distancia a ubicación:,Maximum distance to location:,Maximale Entfernung vom Ort
Detectar mi ubicación,template-buscador-clinicas,iol-main,Detectar mi ubicación,Detect my location,Identifiziere meinen Ort,,Detectar mi ubicación,Detectar mi ubicación,Detectar mi ubicación,Detect my location,Identifiziere meinen Ort
Mostrando,template-buscador-clinicas,iol-main,Mostrando,Showing,Zeigen,,Mostrando,Mostrando,Mostrando,Showing,Zeigen
ubicación seleccionada:,template-buscador-clinicas,iol-main,ubicación seleccionada:,Selected location:,ausgewählter Ort:,,ubicación seleccionada:,ubicación seleccionada:,ubicación seleccionada:,Selected location:,ausgewählter Ort:
Distancia,template-buscador-clinicas,iol-main,Distancia,Distance,Entfernung,,Distancia,Distancia,Distancia,Distance,Entfernung
km,template-buscador-clinicas,iol-main,km,km,km,,km,km,km,km,km
Mostrar Todas,template-buscador-clinicas,iol-main,Mostrar Todas,Show All,Zeige alles,,Mostrar Todas,Mostrar Todas,Mostrar Todas,Show All,Zeige alles
Clinicas más visitadas,template-buscador-clinicas,iol-main,Clinicas más visitadas,Most visited clinics,Am häufigsten besuchte Kliniken,,Clinicas más visitadas,Clinicas más visitadas,Clinicas más visitadas,Most visited clinics,Am häufigsten besuchte Kliniken
Clínicas según lente y Comunidad,template-buscador-clinicas,iol-main,Clínicas según lente y Comunidad,Clinics according to lens and Community,Kliniken nach Linse und Region,,Clínicas según lente y Comunidad,Clínicas según lente y Comunidad,Clínicas según lente y Comunidad,Clinics according to lens and Community,Kliniken nach Linse und Region
Queremos saber cómo ves.,template-noregisteredquestionnaires,iol-main,Queremos saber cómo ves.,We want to know how is your eyesight,"Wir möchten wissen, wie gut Du sehen kannst.",,Queremos saber cómo ves.,Queremos saber cómo ves.,Queremos saber cómo ves.,We want to know how is your eyesight,"Wir möchten wissen, wie gut Du sehen kannst."
Cuéntanos tu opinión sobre el resultado de tu operación.,template-noregisteredquestionnaires,iol-main,Cuéntanos tu opinión sobre el resultado de tu operación.,Tell us your opinion about the outcomes of your surgery.,Berichte uns über das Ergebnis Deiner Operation,,Cuéntanos tu opinión sobre el resultado de tu operación.,Cuéntanos tu opinión sobre el resultado de tu operación.,Cuéntanos tu opinión sobre el resultado de tu operación.,Tell us your opinion about the outcomes of your surgery.,Berichte uns über das Ergebnis Deiner Operation
Ayuda a otros usuarios interesados en tu operación.,template-noregisteredquestionnaires,iol-main,Ayuda a otros usuarios interesados en tu operación.,Help other users interested in your surgery.,"Helfe anderen Usern, die sich über Deine Operation informieren möchten.",,Ayuda a otros usuarios interesados en tu operación.,Ayuda a otros usuarios interesados en tu operación.,Ayuda a otros usuarios interesados en tu operación.,Help other users interested in your surgery.,"Helfe anderen Usern, die sich über Deine Operation informieren möchten."
Operación con reemplazo de cristalino sin cataratas,template-noregisteredquestionnaires,iol-main,Operación con reemplazo de cristalino sin cataratas,Lens replacement surgery without cataracts,Linsentausch ohne Vorliegen einer Katarakt,,Operación con reemplazo de cristalino sin cataratas,Operación con reemplazo de cristalino sin cataratas,Operación con reemplazo de cristalino sin cataratas,Lens replacement surgery without cataracts,Linsentausch ohne Vorliegen einer Katarakt
Operación de cataratas (con cualquier tipo de lente intraocular),template-noregisteredquestionnaires,iol-main,Operación de cataratas (con cualquier tipo de lente intraocular),Cataract surgery (with any type of intraocular lens),Operation des Grauen Stars (unabhängig vom verwendeten Linsentyp),,Operación de cataratas (con cualquier tipo de lente intraocular),Operación de cataratas (con cualquier tipo de lente intraocular),Operación de cataratas (con cualquier tipo de lente intraocular),Cataract surgery (with any type of intraocular lens),Operation des Grauen Stars (unabhängig vom verwendeten Linsentyp)
"Operación con láser excímer sobre córnea (LASIK, PRK, etc.)",template-noregisteredquestionnaires,iol-main,"Operación con láser excímer sobre córnea (LASIK, PRK, etc.)","Operation with excimer laser on cornea (LASIK, PRK, etc.)","Operation der Hornhaut mittels eines Excimerlasers (LASIK, PRK, etc. )",,"Operación con láser excímer sobre córnea (LASIK, PRK, etc.)","Operación con láser excímer sobre córnea (LASIK, PRK, etc.)","Operación con láser excímer sobre córnea (LASIK, PRK, etc.)","Operation with excimer laser on cornea (LASIK, PRK, etc.)","Operation der Hornhaut mittels eines Excimerlasers (LASIK, PRK, etc. )"
Operación con lente intraocular ICL,template-noregisteredquestionnaires,iol-main,Operación con lente intraocular ICL,Surgery with ICL intraocular lens,Operation mit einer ICL,,Operación con lente intraocular ICL,Operación con lente intraocular ICL,Operación con lente intraocular ICL,Surgery with ICL intraocular lens,Operation mit einer ICL
"Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:",template-noregisteredquestionnaires,iol-main,"Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:","If you know someone who has already had surgery and can give testimony of their operation, share this page using a social network:","Falls Du jemanden kennst, der schon operiert wurde und über seine Erfahrungen berichten kann, teile diese Seite in den sozialen Netzwerken.",,"Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:","Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:","Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:","If you know someone who has already had surgery and can give testimony of their operation, share this page using a social network:","Falls Du jemanden kennst, der schon operiert wurde und über seine Erfahrungen berichten kann, teile diese Seite in den sozialen Netzwerken."
