msgid,msgctxt,domain,es_ES,en_GB,de_DE,fr_FR,es_MX,es_CL,es_CO,en_US,de_AT
Realice el test para saber qué tipo de lente es la más adecuada para usted.,interaction-home,iol-main,Realice el test para saber qué tipo de lente es la más adecuada para usted.,Take the test to find out which type of lens is best for you.,"Machen Sie den Test, um die für Sie geeignete Linse zu finden.",Faites le test pour savoir quel type d'implant intraoculaire vous convient le mieux.,Realice el test para saber qué tipo de lente es la más adecuada para usted.,Realice el test para saber qué tipo de lente es la más adecuada para usted.,Realice el test para saber qué tipo de lente es la más adecuada para usted.,Take the test to find out which type of lens is best for you.,"Machen Sie den Test, um die für Sie geeignete Linse zu finden."
¿Te has operado? Cuéntanos como fue tu Operación,interaction-home,iol-main,¿Te has operado? Cuéntanos como fue tu Operación,Have you undergo surgery already? Tell us how was it!,Man hat Dich bereits operiert? Berichte uns über Deine Operationserfahrungen.,Avez-vous opéré? Dites-nous comment a été votre opération,¿Te has operado? Cuéntanos como fue tu Operación,¿Te has operado? Cuéntanos como fue tu Operación,¿Te has operado? Cuéntanos como fue tu Operación,Have you undergo surgery already? Tell us how was it!,Man hat Dich bereits operiert? Berichte uns über Deine Operationserfahrungen.
Ayuda a otros pacientes con tu experiencia,interaction-home,iol-main,Ayuda a otros pacientes con tu experiencia,Help other patients by sharing your experience,Helfe anderen Patienten mit Deinen Erfahrungen.,Aidez d'autres patients avec votre expérience,Ayuda a otros pacientes con tu experiencia,Ayuda a otros pacientes con tu experiencia,Ayuda a otros pacientes con tu experiencia,Help other patients by sharing your experience,Helfe anderen Patienten mit Deinen Erfahrungen.
Queremos saber si estás contento/a o no.,interaction-home,iol-main,Queremos saber si estás contento/a o no.,We want to know if you are happy or not with the outomes.,"Wir möchten gerne erfahren, ob Du zufrieden bist oder nicht.",Nous voulons savoir si vous êtes heureux d'avoir été operé ou non.,Queremos saber si estás contento/a o no.,Queremos saber si estás contento/a o no.,Queremos saber si estás contento/a o no.,We want to know if you are happy or not with the outomes.,"Wir möchten gerne erfahren, ob Du zufrieden bist oder nicht."
Ir a la encuesta >>,interaction-home,iol-main,Ir a la encuesta >>,Go to the survey >>,Gehe zum Fragebogen,Aller à l'enquête >>,Ir a la encuesta >>,Ir a la encuesta >>,Ir a la encuesta >>,Go to the survey >>,Gehe zum Fragebogen
"Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:",interaction-home,iol-main,"Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:","If you know someone who has already had surgery, invite them to give their opinion about their operation:","Kennst Du jemanden, der schon operiert wurde. Lade ihn ein, uns seine Erfahrungen zu übermitteln.","Si vous connaissez quelqu'un qui a déjà été opéré, invitez-le à donner son avis sur son opération:","Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:","Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:","Si conoces a alguien que ya se ha operado, invítale a dar su opinión sobre su operación:","If you know someone who has already had surgery, invite them to give their opinion about their operation:","Kennst Du jemanden, der schon operiert wurde. Lade ihn ein, uns seine Erfahrungen zu übermitteln."
Foros de NuevoCristalino,iol_main,iol-main,Foros de NuevoCristalino,NewLens Forums,Forum von NeueLinsen,Forums de NouveauCristallin,Foros de NuevoCristalino,Foros de NuevoCristalino,Foros de NuevoCristalino,NewLens Forums,Forum von NeueLinsen
Blog de lentes intraoculares Presbicia y cataratas,single-post,iol-main,Blog de lentes intraoculares Presbicia y cataratas,"Blog of intraocular lenses, Presbyopia and cataracts",Blog über Intraokularlinsen zur Korrektur der Alterssichtigkeit oder einer Katarakt.,"Blog d'implants intraoculaires, presbytie et cataractes",Blog de lentes intraoculares Presbicia y cataratas,Blog de lentes intraoculares Presbicia y cataratas,Blog de lentes intraoculares Presbicia y cataratas,"Blog of intraocular lenses, Presbyopia and cataracts",Blog über Intraokularlinsen zur Korrektur der Alterssichtigkeit oder einer Katarakt.
Pregunta a los cirujanos,iol_main,iol-main,Pregunta a los cirujanos,Ask the surgeons,Fragen an den Augenchirurgen,Demandez aux chirurgiens,Pregunta a los cirujanos,Pregunta a los cirujanos,Pregunta a los cirujanos,Ask the surgeons,Fragen an den Augenchirurgen
Blog de lentes intraoculares Presbicia y cataratas,iol_main,iol-main,Blog de lentes intraoculares Presbicia y cataratas,"Blog of intraocular lenses, Presbyopia and cataracts",Blog über Intraokularlinsen zur Korrektur der Alterssichtigkeit oder einer Katarakt.,"Blog d'implants intraoculaires, presbytie et cataractes",Blog de lentes intraoculares Presbicia y cataratas,Blog de lentes intraoculares Presbicia y cataratas,Blog de lentes intraoculares Presbicia y cataratas,"Blog of intraocular lenses, Presbyopia and cataracts",Blog über Intraokularlinsen zur Korrektur der Alterssichtigkeit oder einer Katarakt.
Filtrado según distancia a una ubicación concreta:,template-buscador-clinicas,iol-main,Filtrado según distancia a una ubicación concreta:,Filtering according to the distance to a specific location:,Filter - Entfernung zu einem bestimmten Ort,Filtrage en fonction de la distance à un emplacement spécifique:,Filtrado según distancia a una ubicación concreta:,Filtrado según distancia a una ubicación concreta:,Filtrado según distancia a una ubicación concreta:,Filtering according to the distance to a specific location:,Filter - Entfernung zu einem bestimmten Ort
Filtrado según Lente y Comunidad:,template-buscador-clinicas,iol-main,Filtrado según Lente y Comunidad:,Filtered according to Lens and Region:,Filter - Linse und Region,Filtré selon implant et region:,Filtrado según Lente y Comunidad:,Filtrado según Lente y Comunidad:,Filtrado según Lente y Comunidad:,Filtered according to Lens and Region:,Filter - Linse und Region
Ubicar la dirección introducida,template-buscador-clinicas,iol-main,Ubicar la dirección introducida,Locate the entered address,Finde den eingegebenen Ort,Localisez l'adresse saisie,Ubicar la dirección introducida,Ubicar la dirección introducida,Ubicar la dirección introducida,Locate the entered address,Finde den eingegebenen Ort
Máxima distancia a ubicación:,template-buscador-clinicas,iol-main,Máxima distancia a ubicación:,Maximum distance to location:,Maximale Entfernung vom Ort,Distance maximale jusqu'à l'emplacement:,Máxima distancia a ubicación:,Máxima distancia a ubicación:,Máxima distancia a ubicación:,Maximum distance to location:,Maximale Entfernung vom Ort
Detectar mi ubicación,template-buscador-clinicas,iol-main,Detectar mi ubicación,Detect my location,Identifiziere meinen Ort,Détecter ma position,Detectar mi ubicación,Detectar mi ubicación,Detectar mi ubicación,Detect my location,Identifiziere meinen Ort
Mostrando,template-buscador-clinicas,iol-main,Mostrando,Showing,Zeigen,Montrant,Mostrando,Mostrando,Mostrando,Showing,Zeigen
ubicación seleccionada:,template-buscador-clinicas,iol-main,ubicación seleccionada:,Selected location:,ausgewählter Ort:,Emplacement sélectionné:,ubicación seleccionada:,ubicación seleccionada:,ubicación seleccionada:,Selected location:,ausgewählter Ort:
Distancia,template-buscador-clinicas,iol-main,Distancia,Distance,Entfernung,Distance,Distancia,Distancia,Distancia,Distance,Entfernung
km,template-buscador-clinicas,iol-main,km,km,km,km,km,km,km,km,km
Mostrar Todas,template-buscador-clinicas,iol-main,Mostrar Todas,Show All,Zeige alles,Montrer tout,Mostrar Todas,Mostrar Todas,Mostrar Todas,Show All,Zeige alles
Clinicas más visitadas,template-buscador-clinicas,iol-main,Clinicas más visitadas,Most visited clinics,Am häufigsten besuchte Kliniken,Les cliniques les plus visitées,Clinicas más visitadas,Clinicas más visitadas,Clinicas más visitadas,Most visited clinics,Am häufigsten besuchte Kliniken
Clínicas según lente y Comunidad,template-buscador-clinicas,iol-main,Clínicas según lente y Comunidad,Clinics according to lens and Community,Kliniken nach Linse und Region,Cliniques selon l'objectif et la region,Clínicas según lente y Comunidad,Clínicas según lente y Comunidad,Clínicas según lente y Comunidad,Clinics according to lens and Community,Kliniken nach Linse und Region
Queremos saber cómo ves.,template-noregisteredquestionnaires,iol-main,Queremos saber cómo ves.,We want to know how is your eyesight,"Wir möchten wissen, wie gut Du sehen kannst.",Nous voulons savoir comment vous voyez.,Queremos saber cómo ves.,Queremos saber cómo ves.,Queremos saber cómo ves.,We want to know how is your eyesight,"Wir möchten wissen, wie gut Du sehen kannst."
Cuéntanos tu opinión sobre el resultado de tu operación.,template-noregisteredquestionnaires,iol-main,Cuéntanos tu opinión sobre el resultado de tu operación.,Tell us your opinion about the outcomes of your surgery.,Berichte uns über das Ergebnis Deiner Operation,Dites-nous votre opinion sur le résultat de votre opération.,Cuéntanos tu opinión sobre el resultado de tu operación.,Cuéntanos tu opinión sobre el resultado de tu operación.,Cuéntanos tu opinión sobre el resultado de tu operación.,Tell us your opinion about the outcomes of your surgery.,Berichte uns über das Ergebnis Deiner Operation
Ayuda a otros usuarios interesados en tu operación.,template-noregisteredquestionnaires,iol-main,Ayuda a otros usuarios interesados en tu operación.,Help other users interested in your surgery.,"Helfe anderen Usern, die sich über Deine Operation informieren möchten.",Aidez d'autres utilisateurs intéressés par votre opération.,Ayuda a otros usuarios interesados en tu operación.,Ayuda a otros usuarios interesados en tu operación.,Ayuda a otros usuarios interesados en tu operación.,Help other users interested in your surgery.,"Helfe anderen Usern, die sich über Deine Operation informieren möchten."
Operación con reemplazo de cristalino sin cataratas,template-noregisteredquestionnaires,iol-main,Operación con reemplazo de cristalino sin cataratas,Lens replacement surgery without cataracts,Linsentausch ohne Vorliegen einer Katarakt,Opération avec remplacement de la lentille sans cataracte,Operación con reemplazo de cristalino sin cataratas,Operación con reemplazo de cristalino sin cataratas,Operación con reemplazo de cristalino sin cataratas,Lens replacement surgery without cataracts,Linsentausch ohne Vorliegen einer Katarakt
Operación de cataratas (con cualquier tipo de lente intraocular),template-noregisteredquestionnaires,iol-main,Operación de cataratas (con cualquier tipo de lente intraocular),Cataract surgery (with any type of intraocular lens),Operation des Grauen Stars (unabhängig vom verwendeten Linsentyp),Opération de la cataracte (avec tout type d'implant intraoculaire),Operación de cataratas (con cualquier tipo de lente intraocular),Operación de cataratas (con cualquier tipo de lente intraocular),Operación de cataratas (con cualquier tipo de lente intraocular),Cataract surgery (with any type of intraocular lens),Operation des Grauen Stars (unabhängig vom verwendeten Linsentyp)
"Operación con láser excímer sobre córnea (LASIK, PRK, etc.)",template-noregisteredquestionnaires,iol-main,"Operación con láser excímer sobre córnea (LASIK, PRK, etc.)","Operation with excimer laser on cornea (LASIK, PRK, etc.)","Operation der Hornhaut mittels eines Excimerlasers (LASIK, PRK, etc. )","Opération avec un laser excimer sur la cornée (LASIK, PRK, etc.)","Operación con láser excímer sobre córnea (LASIK, PRK, etc.)","Operación con láser excímer sobre córnea (LASIK, PRK, etc.)","Operación con láser excímer sobre córnea (LASIK, PRK, etc.)","Operation with excimer laser on cornea (LASIK, PRK, etc.)","Operation der Hornhaut mittels eines Excimerlasers (LASIK, PRK, etc. )"
Operación con lente intraocular ICL,template-noregisteredquestionnaires,iol-main,Operación con lente intraocular ICL,Surgery with ICL intraocular lens,Operation mit einer ICL,Opération avec l'implant intraoculaire ICL,Operación con lente intraocular ICL,Operación con lente intraocular ICL,Operación con lente intraocular ICL,Surgery with ICL intraocular lens,Operation mit einer ICL
"Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:",template-noregisteredquestionnaires,iol-main,"Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:","If you know someone who has already had surgery and can give testimony of their operation, share this page using a social network:","Falls Du jemanden kennst, der schon operiert wurde und über seine Erfahrungen berichten kann, teile diese Seite in den sozialen Netzwerken.","Si vous connaissez quelqu'un qui a déjà été opéré et pouvez témoigner de son opération, partagez cette page en utilisant un réseau social:","Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:","Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:","Si conoces a alguien que ya se ha operado y puede dar el testimonio de su operación, compártelo esta página usando una red social:","If you know someone who has already had surgery and can give testimony of their operation, share this page using a social network:","Falls Du jemanden kennst, der schon operiert wurde und über seine Erfahrungen berichten kann, teile diese Seite in den sozialen Netzwerken."
